健身指导与管理,,,,,,,,3
儿科学,7,10,8,,,,,
儿童发展与教育类,,,,,,,,1
光伏发电技术与应用,,,,,,,,6
光伏工程技术,1,,1,,,,1,1
光伏材料制备技术,,,,,,,,4
光源与照明,4,1,,,,,1,
光电信息科学与工程,60,29,7,,,,22,15
光电信息科学与工程,1,,,,,,,
光电信息科学与工程,1,1,,,,,,
光电信息科学与工程,1,,,,,,,
光电信息科学与工程,1,1,,,,,1,
光电信息科学与工程,2,,,,,,,
光电信息科学与工程,1,,,,,,,
光电信息科学与工程,1,1,,,,,1,
光电制造与应用技术,1,,,,,,1,
光电技术与物理类,1,,,,,,,
光电技术应用,1,,,,,,,1
光通信技术,1,1,,,,,1,
公共事业管理,5,8,8,5,4,,1,88
公共事业管理,,,,,,,,1
公共事业管理,,,,,,,,1
公共事业管理,,,,,,,,1
公共事业管理,,,,1,,,,
公共事业管理,,,,1,,,,
公共事业管理,,,,,,,,3
公共事业管理,,,,,,,,1
公共事业管理,,,,,,,,1
公共事业管理,,,,,,,,1
公共事业管理,,,,,,,,1
公共事务管理,,,,,,,,4
公共关系学,1,,,1,,,,1
公共卫生与卫生管理类,,,,,,,,1
公共卫生与预防医学类,,,,,,,,1
公共卫生管理,,,,,,,,1
公共文化服务与管理,,,,,,,,2
公共管理类,,,,4,3,,,41
公共管理类,,,,,,,,1
公共管理类,,,,,,,,1
公共管理类,,,,,,,,2
公共管理类,1,1,1,,,,,
公共艺术,,,,,,,,20
公共艺术,,,,,,,,1
公共艺术设计,,,,,,,,5
公安情报学,,,,,,,,3
公安管理学,,,,,,,,3
公安管理学,,,,,,,,1
公安视听技术,1,1,,,,,1,1
兵器类,,,,,,,,1
内燃机制造与维修,,,,,,,,1
军事交通工程,2,2,,,,,2,
军事地理信息工程,2,,,,2,,,
军事地理信息工程,2,,,,2,,,
军事大数据工程,2,2,,,,,2,
军事大数据工程(武警),,,,,,,,2
军事海洋学,2,,,,,,,
军事能源工程 ,,,,,,,,2
军事设施工程,2,,,,,,,
军事设施工程 ,,,,,,,,2
军事设施工程,2,,,,,,,
农业工程类,4,2,1,,,,,
农业建筑环境与能源工程,1,1,,,,,,
农业机械化及其自动化,11,8,4,,,,4,
农业水利工程,6,5,4,,,,3,2
农业水利工程,1,1,1,,,,,
农业生物技术,,,,,,,,2
农业电气化,3,3,1,,,,2,
农业类,,,,,,,,2
农业经济管理,,,,,,,,1
农业经济管理类,,,,,,,,3
农业经济管理类,,,,,,,,1
农业装备应用技术,,,,,,,,1
农业资源与环境,2,5,4,,,,,3
农产品加工与质量检测,,1,1,,,,1,1
农产品流通与管理,,,,,,,,1
农学,9,13,13,,,,,2
农学,1,1,1,,,,,
农村区域发展,,,1,1,1,,,4
农村经营管理,,,1,,1,,1,1
农村金融,,1,,1,,,1,
农林经济管理,,,1,1,1,,,15
冶金工程,13,13,5,,1,,4,1
冷链物流技术与管理,,,,,,,,2
出版与电脑编辑技术,,,,,,,,2
出版与电脑编辑技术,,,,,,,,1
出版商务,,,,,,,,1
分子科学与工程,1,1,1,,,,,
分子科学与工程,1,1,1,,,,,
分布式发电与微电网技术,,,,,,,,2
刑事侦查技术,,,,,,,,1
刑事执行,,,1,,,,1,2
刑事科学技术,6,6,2,,,,3,
刑事科学技术,1,1,,,,,1,
制冷与空调技术,2,1,,,,,1,4
制药与分子工程类,1,1,,,,,1,
制药工程,67,79,59,,1,,5,11
制药工程,1,1,1,,,,,
制药设备应用技术,1,,1,,,,1,1
刺绣设计与工艺,,,,,,,,1
力学类,2,1,,,,,,
功能材料,10,10,4,,,,2,1
动植物检疫,2,5,5,,,,,1
动植物检疫,1,1,1,,,,,
动植物检疫,,1,1,,,,,
动植物检疫,1,1,1,,,,,
动漫制作技术,2,1,,2,2,,3,39
动漫制作技术,,,,,,,,1
动漫设计,,,,1,1,,1,10
动物医学,11,18,18,,1,,3,17
生物医学系,1,1,1,,,,,
动物医学类,1,1,1,,,,,
动物生产类,1,2,2,,,,,
动物科学,13,18,18,,,,,6
动物药学,1,4,4,,,,1,2
动物防疫与检疫,,,,,,,,3
动画,,,,1,1,,,112
动画,,,,,,,,1
动画,,,,,,,,1
动画,,,,,,,,1
动画,,,,,,,,1
动画,,,,,,,,1
动画,,,,,,,,1
动车组检修技术,2,1,,,1,,2,3
助产,1,7,9,2,1,,4,18
助产学,,1,1,,,,,
劳动与社会保障,2,,,3,1,,1,26
劳动关系,,,,,,,,2
勘查技术与工程,10,8,3,,1,,2,1
勘查技术与工程,1,1,,,,,,
勘查技术与工程,1,,,,,,,
勘查技术与工程,1,,,,,,,
包装工程,12,10,2,1,,,5,2
包装工程技术,,,,,,,,2
包装策划与设计,,,,,,,,3
包装艺术设计,,,,,,,,1
包装设计,,,,,,,,1
匈牙利语,,,,,,,,1
化妆品技术,,1,1,,,,1,1
化学,42,50,31,,,,1,7
化学 ,,,,,,,,2
化学,1,1,1,,,,,
化学,,1,,,,,,
化学,6,6,3,,,,,
化学化工类,1,1,1,,,,,
化学工程与工业生物工程,1,1,1,,,,,
化学工程与工艺,81,91,46,,,,8,10
化学工程与工艺,1,1,,,,,,
化学工程与工艺,1,1,,,,,,
化学工程与工艺,1,1,1,,,,,
化学工程与工艺,1,1,,,,,,
化学工程与工艺,1,1,,,,,,
化学工程与工艺,1,1,,,,,,
化学教育,,,,,,,,1
化学生物学,4,5,5,,,,,
化学生物环境食品类,1,1,1,,,,,
化学类,22,28,10,,,,2,1
化学类,3,3,,,,,,
化学类,,,,,,,,1
化学类,1,1,,,,,,
化学类,,1,1,,,,,
化学类,1,1,1,,,,,
化工与制药类,23,24,17,,,,,2
化工与制药类,1,1,,,,,,
化工与制药类,1,1,,,,,,
化工与制药类,1,1,,,,,,
化工与制药类,1,1,,,,,,
化工与生物类,1,1,1,,,,,
化工安全技术,,,,,,,,1
化工技术类,,,,,,,,2
化工环境类,1,1,1,,,,,
化工装备技术,,,,,,,,2
医学信息工程,8,3,6,,,,4,4
医学实验技术,5,8,6,,,,1,1
医学影像学,34,33,32,,,,4,4
医学影像技术,34,23,24,,,,11,15
医学技术类,4,5,3,,,,,2
医学技术类,2,1,1,,,,,
医学检验技术,38,61,57,,,,9,26
医学生物技术,,1,1,,,,,1
医学美容技术,,1,2,1,,,,7
医学美容技术,,,,,,,,1
医学营养,,,,,,,,2
医学试验班,1,1,1,,,,,
医学试验班,1,,,,,,,
医学试验班,,1,1,,,,,
医学试验班,,1,1,,,,,
医学试验班类,1,1,1,,,,,
医学试验班类,1,1,,,,,,
医疗器械经营与管理,1,,1,,,,1,
医疗器械维护与管理,1,1,1,,,,,
医疗器械维护与管理,1,,1,,,,1,
医疗设备应用技术,,,,,,,,6
医疗设备应用技术,,,,,,,,1
卫生信息管理,,,,,,,1,3
卫生信息管理,,,,,,,,1
卫生检验与检疫,9,14,12,,,,,2
卫生检验与检疫技术,,2,2,,,,2,
卫生监督,1,1,1,,,,,
印刷媒体技术,,,,,,,,4
印刷工程,3,3,1,,,,1,1
印刷类,,,,,,,,1
印刷设备应用技术,,,,,,,,1
印地语,,,,,,,,1
印度尼西亚语,,,,,,,,7
印度尼西亚语,,,,2,2,,2,
历史学,,,,25,16,,1,12
历史学,,,,1,1,,,
历史学,,,,,,,,1
历史学,,,,1,1,,,1
历史学,,1,,7,4,,,3
历史学(武警),,,,,,,,2
历史学类,,,,9,4,,,7
历史建筑保护工程,2,1,1,,,,,
历史教育,,,,,,,,1
发电厂及电力系统,2,1,,,,,2,5
发电厂及电力系统,,,,,,,,1
口腔医学,47,58,48,,,,2,17
口腔医学,2,3,,,,,,
口腔医学,1,1,1,,,,,
口腔医学,1,,1,,,,,
口腔医学,1,1,,,,,,
口腔医学,2,3,1,,,,,1
口腔医学,1,1,,,,,,
口腔医学,,1,,,,,,
口腔医学八年制,,2,2,,,,,
口腔医学技术,2,3,3,1,,,,12
口腔医学技术,,,,,,,,1
古建筑工程技术,,,,,,,,1
古生物学,,,,,,,,1
司法信息安全,1,1,,,,,1,
司法助理,,,,,,,,3
司法技术类,,,,,,,,1
司法警务,,1,,,1,,,1
司法鉴定技术,,,,,,,,1
司法鉴定技术,,,,,,,,1
司法鉴定技术,,,,,,,,1
听力与言语康复学,2,,2,,,,2,1
呼吸治疗技术,,,,,,,,1
品牌代理经营,,,,,,,,1
哲学,1,,,4,3,,,15
哲学(武警),,,,,,,,2
哲学,,,,,,,,1
哲学类,,,,,,,,6
商务数据分析与应用,,,,1,1,,1,2
商务日语,,,,1,1,,1,19
商务日语,,,,,,,,1
商务管理,1,,,1,,,1,5
商务经济学,,,,,,,,2
商务经纪与代理,,,,,,,,4
商务英语,3,1,2,12,7,,8,196
商务英语,,,,,,,,1
商务英语,,,,,,,,1
商务英语,,,1,1,,,1,
商学院,,,,,,,,1
商检技术,,,,,,,,1
商科类,,,,,,,,1
园林,16,28,31,3,1,,4,19
园林,1,1,1,,,,,
园林园艺类,,1,1,,,,1,
园林工程技术,1,1,3,1,,,2,16
园林技术,,1,3,,1,,2,19
园林技术,,,,,,,,1
